   Id    Turma    Sexo   Idade    Alt     Peso   Filhos   Fuma   Toler   Exerc    Cine   OpCine    TV     OpTV
   1       A       F       17     1.60    60.5     2      NAO      P       0       1       B       16      R
   2       A       F       18     1.69    55.0     1      NAO      M       0       1       B       7       R
   3       A       M       18     1.85    72.8     2      NAO      P       5       2       M       15      R
   4       A       M       25     1.85    80.9     2      NAO      P       5       2       B       20      R
   5       A       F       19     1.58    55.0     1      NAO      M       2       2       B       5       R
   6       A       M       19     1.76    60.0     3      NAO      M       2       1       B       2       R
   7       A       F       20     1.60    58.0     1      NAO      P       3       1       B       7       R
   8       A       F       18     1.64    47.0     1      SIM      I       2       2       M       10      R
   9       A       F       18     1.62    57.8     3      NAO      M       3       3       M       12      R
   10      A       F       17     1.64    58.0     2      NAO      M       2       2       M       10      R
   11      A       F       18     1.72    70.0     1      SIM      I       10      2       B       8       N
   12      A       F       18     1.66    54.0     3      NAO      M       0       2       B       0       R
   13      A       F       21     1.70    58.0     2      NAO      M       6       1       M       30      R
   14      A       M       19     1.78    68.5     1      SIM      I       5       1       M       2       N
   15      A       F       18     1.65    63.5     1      NAO      I       4       1       B       10      R
   16      A       F       19     1.63    47.4     3      NAO      P       0       1       B       18      R
   17      A       F       17     1.82    66.0     1      NAO      P       3       1       B       10      N
   18      A       M       18     1.80    85.2     2      NAO      P       3       4       B       10      R
   19      A       F       20     1.60    54.5     1      NAO      P       3       2       B       5       R
   20      A       F       18     1.68    52.5     3      NAO      M       7       2       B       14      M
   21      A       F       21     1.70    60.0     2      NAO      P       8       2       B       5       R
   22      A       F       18     1.65    58.5     1      NAO      M       0       3       B       5       R
   23      A       F       18     1.57    49.2     1      SIM      I       5       4       B       10      R
   24      A       F       20     1.55    48.0     1      SIM      I       0       1       M       28      R
   25      A       F       20     1.69    51.6     2      NAO      P       8       5       M       4       N
   26      A       F       19     1.54    57.0     2      NAO      I       6       2       B       5       R
   27      B       F       23     1.62    63.0     2      NAO      M       8       2       M       5       R
   28      B       F       18     1.62    52.0     1      NAO      P       1       1       M       10      R
   29      B       F       18     1.57    49.0     2      NAO      P       3       1       B       12      R
   30      B       F       25     1.65    59.0     4      NAO      M       1       2       M       2       R
   31      B       F       18     1.61    52.0     1      NAO      P       2       2       M       6       N
   32      B       M       17     1.71    73.0     1      NAO      P       1       1       B       20      R
   33      B       F       17     1.65    56.0     3      NAO      M       2       1       B       14      R
   34      B       F       17     1.67    58.0     1      NAO      M       4       2       B       10      R
   35      B       M       18     1.73    87.0     1      NAO      M       7       1       B       25      B
   36      B       F       18     1.60    47.0     1      NAO      P       5       1       M       14      R
   37      B       M       17     1.70    95.0     1      NAO      P       10      2       M       12      N
   38      B       M       21     1.85    84.0     1      SIM      I       6       4       B       10      R
   39      B       F       18     1.70    60.0     1      NAO      P       5       2       B       12      R
   40      B       M       18     1.73    73.0     1      NAO      M       4       1       B       2       R
   41      B       F       17     1.70    55.0     1      NAO      I       5       4       B       10      B
   42      B       F       23     1.45    44.0     2      NAO      M       2       2       B       25      R
   43      B       M       24     1.76    75.0     2      NAO      I       7       0       M       14      N
   44      B       F       18     1.68    55.0     1      NAO      P       5       1       B       8       R
   45      B       F       18     1.55    49.0     1      NAO      M       0       1       M       10      R
   46      B       F       19     1.70    50.0     7      NAO      M       0       1       B       8       R
   47      B       F       19     1.55    54.5     2      NAO      M       4       3       B       3       R
   48      B       F       18     1.60    50.0     1      NAO      P       2       1       B       5       R
   49      B       M       17     1.80    71.0     1      NAO      P       7       0       M       14      R
   50      B       M       18     1.83    86.0     1      NAO      P       7       0       M       20      B
